x,y
12 ,69 
12 ,43 
30 ,3 
78 ,16 
94 ,36 
94 ,57 
87 ,93 
x,y
4 ,20 
9 ,16 
30 ,3 
68 ,2 
98 ,3 
98 ,54 
97 ,82 
87 ,93 
59 ,96 
25 ,96 
18 ,93 
7 ,84 
4 ,52 
x,y
4 ,20 
9 ,16 
30 ,3 
68 ,2 
98 ,3 
98 ,54 
97 ,82 
87 ,93 
59 ,96 
25 ,96 
18 ,93 
7 ,84 
4 ,52 
x,y
4 ,20 
9 ,16 
30 ,3 
68 ,2 
98 ,3 
98 ,54 
97 ,82 
87 ,93 
59 ,96 
25 ,96 
18 ,93 
7 ,84 
4 ,52 
x,y
4 ,20 
9 ,16 
30 ,3 
68 ,2 
98 ,3 
98 ,54 
97 ,82 
87 ,93 
59 ,96 
25 ,96 
18 ,93 
7 ,84 
4 ,52 
x,y
-98 ,-14 
-96 ,-27 
-77 ,-63 
-57 ,-80 
-49 ,-85 
-34 ,-94 
-24 ,-97 
-14 ,-99 
17 ,-98 
29 ,-95 
43 ,-90 
49 ,-87 
57 ,-82 
82 ,-57 
86 ,-49 
91 ,-36 
95 ,-15 
96 ,-8 
96 ,-3 
95 ,22 
91 ,38 
81 ,58 
62 ,78 
48 ,87 
35 ,91 
20 ,95 
-2 ,97 
-21 ,97 
-28 ,96 
-51 ,86 
-80 ,57 
-94 ,29 
-96 ,18 
-98 ,3 
x,y
-98 ,-14 
-96 ,-27 
-84 ,-49 
-64 ,-74 
-57 ,-80 
-49 ,-85 
-34 ,-94 
-24 ,-97 
-14 ,-99 
17 ,-98 
29 ,-95 
43 ,-90 
49 ,-87 
57 ,-82 
66 ,-73 
86 ,-49 
91 ,-36 
95 ,-15 
96 ,-8 
96 ,-3 
95 ,22 
91 ,38 
81 ,58 
48 ,87 
35 ,91 
20 ,95 
-21 ,97 
-28 ,96 
-53 ,83 
-67 ,70 
-80 ,57 
-94 ,29 
-96 ,18 
-98 ,3 
x,y
-98 ,-14 
-96 ,-27 
-77 ,-63 
-57 ,-80 
-49 ,-85 
-34 ,-94 
-24 ,-97 
-14 ,-99 
17 ,-98 
29 ,-95 
43 ,-90 
49 ,-87 
57 ,-82 
82 ,-57 
86 ,-49 
91 ,-36 
95 ,-15 
96 ,-8 
96 ,-3 
95 ,22 
91 ,38 
81 ,58 
62 ,78 
48 ,87 
35 ,91 
20 ,95 
-2 ,97 
-21 ,97 
-28 ,96 
-51 ,86 
-80 ,57 
-94 ,29 
-96 ,18 
-98 ,3 
x,y
-98 ,-14 
-96 ,-27 
-84 ,-49 
-64 ,-74 
-57 ,-80 
-49 ,-85 
-34 ,-94 
-24 ,-97 
-14 ,-99 
17 ,-98 
29 ,-95 
43 ,-90 
49 ,-87 
57 ,-82 
66 ,-73 
86 ,-49 
91 ,-36 
