x,y
84 ,87 
78 ,16 
94 ,36 
87 ,93 
50 ,22 
63 ,28 
91 ,60 
64 ,27 
41 ,27 
73 ,37 
12 ,69 
68 ,30 
83 ,31 
63 ,24 
68 ,36 
30 ,3 
23 ,59 
70 ,68 
94 ,57 
12 ,43 
x,y
84 ,87 
78 ,16 
94 ,36 
87 ,93 
50 ,22 
63 ,28 
91 ,60 
64 ,27 
41 ,27 
73 ,37 
12 ,69 
68 ,30 
83 ,31 
63 ,24 
68 ,36 
30 ,3 
23 ,59 
70 ,68 
94 ,57 
12 ,43 
30 ,74 
22 ,20 
85 ,38 
99 ,25 
16 ,71 
14 ,27 
92 ,81 
57 ,74 
63 ,71 
97 ,82 
6 ,26 
85 ,28 
37 ,6 
47 ,30 
14 ,58 
25 ,96 
83 ,46 
15 ,68 
35 ,65 
44 ,51 
88 ,9 
77 ,79 
89 ,85 
4 ,52 
55 ,100 
33 ,61 
77 ,69 
40 ,13 
27 ,87 
95 ,40 
96 ,71 
35 ,79 
68 ,2 
98 ,3 
18 ,93 
53 ,57 
2 ,81 
87 ,42 
66 ,90 
45 ,20 
41 ,30 
32 ,18 
98 ,72 
82 ,76 
10 ,28 
68 ,57 
98 ,54 
87 ,66 
7 ,84 
20 ,25 
29 ,72 
33 ,30 
4 ,20 
71 ,69 
9 ,16 
41 ,50 
97 ,24 
19 ,46 
47 ,52 
22 ,56 
80 ,89 
65 ,29 
42 ,51 
94 ,1 
35 ,65 
25 ,15 
88 ,57 
44 ,92 
28 ,66 
60 ,37 
33 ,52 
38 ,29 
76 ,8 
75 ,22 
59 ,96 
30 ,38 
36 ,94 
19 ,29 
44 ,12 
29 ,30 
x,y
84 ,87 
78 ,16 
94 ,36 
87 ,93 
50 ,22 
63 ,28 
91 ,60 
64 ,27 
41 ,27 
73 ,37 
12 ,69 
68 ,30 
83 ,31 
63 ,24 
68 ,36 
30 ,3 
23 ,59 
70 ,68 
94 ,57 
12 ,43 
30 ,74 
22 ,20 
85 ,38 
99 ,25 
16 ,71 
14 ,27 
92 ,81 
57 ,74 
63 ,71 
97 ,82 
6 ,26 
85 ,28 
37 ,6 
47 ,30 
14 ,58 
25 ,96 
83 ,46 
15 ,68 
35 ,65 
44 ,51 
88 ,9 
77 ,79 
89 ,85 
4 ,52 
55 ,100 
33 ,61 
77 ,69 
40 ,13 
27 ,87 
95 ,40 
96 ,71 
35 ,79 
68 ,2 
98 ,3 
18 ,93 
53 ,57 
2 ,81 
87 ,42 
66 ,90 
45 ,20 
41 ,30 
32 ,18 
98 ,72 
82 ,76 
10 ,28 
68 ,57 
98 ,54 
87 ,66 
7 ,84 
20 ,25 
29 ,72 
33 ,30 
4 ,20 
71 ,69 
9 ,16 
41 ,50 
97 ,24 
19 ,46 
47 ,52 
22 ,56 
80 ,89 
65 ,29 
42 ,51 
94 ,1 
35 ,65 
25 ,15 
88 ,57 
44 ,92 
28 ,66 
60 ,37 
33 ,52 
38 ,29 
76 ,8 
75 ,22 
59 ,96 
30 ,38 
36 ,94 
19 ,29 
44 ,12 
29 ,30 
x,y
84 ,87 
78 ,16 
94 ,36 
87 ,93 
50 ,22 
63 ,28 
91 ,60 
64 ,27 
41 ,27 
73 ,37 
12 ,69 
68 ,30 
83 ,31 
63 ,24 
68 ,36 
30 ,3 
23 ,59 
70 ,68 
94 ,57 
12 ,43 
30 ,74 
22 ,20 
85 ,38 
99 ,25 
16 ,71 
14 ,27 
92 ,81 
57 ,74 
63 ,71 
97 ,82 
6 ,26 
85 ,28 
37 ,6 
47 ,30 
14 ,58 
25 ,96 
83 ,46 
15 ,68 
35 ,65 
44 ,51 
88 ,9 
77 ,79 
89 ,85 
4 ,52 
55 ,100 
33 ,61 
77 ,69 
40 ,13 
27 ,87 
95 ,40 
96 ,71 
35 ,79 
68 ,2 
98 ,3 
18 ,93 
53 ,57 
2 ,81 
87 ,42 
66 ,90 
45 ,20 
41 ,30 
32 ,18 
98 ,72 
82 ,76 
10 ,28 
68 ,57 
98 ,54 
87 ,66 
7 ,84 
20 ,25 
29 ,72 
33 ,30 
4 ,20 
71 ,69 
9 ,16 
41 ,50 
97 ,24 
19 ,46 
47 ,52 
22 ,56 
80 ,89 
65 ,29 
42 ,51 
94 ,1 
35 ,65 
25 ,15 
88 ,57 
44 ,92 
28 ,66 
60 ,37 
33 ,52 
38 ,29 
76 ,8 
75 ,22 
59 ,96 
30 ,38 
36 ,94 
19 ,29 
44 ,12 
29 ,30 
x,y
84 ,87 
78 ,16 
94 ,36 
87 ,93 
50 ,22 
63 ,28 
91 ,60 
64 ,27 
41 ,27 
73 ,37 
12 ,69 
68 ,30 
83 ,31 
63 ,24 
68 ,36 
30 ,3 
23 ,59 
70 ,68 
94 ,57 
12 ,43 
30 ,74 
22 ,20 
85 ,38 
99 ,25 
16 ,71 
14 ,27 
92 ,81 
57 ,74 
63 ,71 
97 ,82 
6 ,26 
85 ,28 
37 ,6 
47 ,30 
14 ,58 
25 ,96 
83 ,46 
15 ,68 
35 ,65 
44 ,51 
88 ,9 
77 ,79 
89 ,85 
4 ,52 
55 ,100 
33 ,61 
77 ,69 
40 ,13 
27 ,87 
95 ,40 
96 ,71 
35 ,79 
68 ,2 
98 ,3 
18 ,93 
53 ,57 
2 ,81 
87 ,42 
66 ,90 
45 ,20 
41 ,30 
32 ,18 
98 ,72 
82 ,76 
10 ,28 
68 ,57 
98 ,54 
87 ,66 
7 ,84 
20 ,25 
29 ,72 
33 ,30 
4 ,20 
71 ,69 
9 ,16 
41 ,50 
97 ,24 
19 ,46 
47 ,52 
22 ,56 
80 ,89 
65 ,29 
42 ,51 
94 ,1 
35 ,65 
25 ,15 
88 ,57 
44 ,92 
28 ,66 
60 ,37 
33 ,52 
38 ,29 
76 ,8 
75 ,22 
59 ,96 
30 ,38 
36 ,94 
19 ,29 
44 ,12 
29 ,30 
x,y
-25 ,80 
7 ,78 
-1 ,-33 
50 ,-25 
-27 ,56 
-28 ,-82 
-1 ,-81 
-42 ,-68 
-15 ,3 
-3 ,28 
-19 ,-95 
31 ,48 
-23 ,2 
16 ,-28 
73 ,-49 
61 ,42 
75 ,1 
43 ,47 
0 ,-98 
-46 ,28 
-36 ,51 
-24 ,-19 
-8 ,27 
-37 ,-33 
21 ,-67 
18 ,44 
26 ,-76 
63 ,-48 
-53 ,83 
-3 ,-20 
26 ,57 
74 ,10 
8 ,66 
56 ,-40 
-18 ,-97 
37 ,-61 
23 ,86 
-14 ,64 
10 ,33 
46 ,1 
55 ,72 
-37 ,-40 
-3 ,-23 
48 ,-69 
92 ,-3 
86 ,36 
81 ,9 
-20 ,-25 
60 ,-14 
2 ,63 
45 ,-81 
-11 ,-87 
-19 ,79 
60 ,18 
38 ,41 
-25 ,-51 
66 ,57 
-61 ,-67 
49 ,-87 
17 ,27 
-32 ,43 
21 ,-56 
-63 ,-10 
7 ,46 
-30 ,71 
4 ,2 
-75 ,40 
-51 ,-53 
96 ,14 
-71 ,-29 
62 ,38 
-37 ,49 
-51 ,57 
48 ,19 
1 ,-3 
-68 ,-57 
-9 ,-44 
-40 ,10 
58 ,55 
27 ,89 
4 ,-90 
91 ,-13 
-56 ,-40 
77 ,-22 
29 ,-64 
67 ,28 
-80 ,18 
-33 ,-91 
-34 ,74 
57 ,-69 
63 ,42 
21 ,-86 
62 ,-33 
48 ,6 
46 ,-50 
-48 ,-64 
-48 ,8 
4 ,25 
-34 ,26 
-45 ,-61 
-43 ,-72 
41 ,-81 
-2 ,-41 
13 ,-66 
-71 ,0 
86 ,-1 
-50 ,15 
-3 ,-1 
-61 ,-33 
23 ,51 
50 ,-22 
-42 ,26 
-26 ,-48 
52 ,0 
17 ,37 
23 ,80 
-48 ,-70 
26 ,-1 
52 ,78 
50 ,73 
5 ,1 
-42 ,50 
-84 ,-49 
58 ,-77 
-51 ,86 
74 ,-39 
87 ,-13 
23 ,-42 
36 ,13 
-15 ,3 
-76 ,6 
-44 ,51 
61 ,-48 
5 ,24 
-9 ,57 
-23 ,-62 
-87 ,-24 
67 ,50 
95 ,-1 
-62 ,42 
-36 ,-47 
-90 ,-38 
6 ,-31 
16 ,47 
30 ,-93 
-71 ,25 
54 ,15 
-6 ,-9 
45 ,-77 
50 ,-50 
44 ,-42 
-7 ,-88 
8 ,40 
-64 ,-73 
1 ,-4 
-44 ,14 
-13 ,14 
91 ,38 
49 ,-64 
-76 ,-47 
-48 ,84 
39 ,59 
-11 ,-28 
-8 ,-12 
41 ,-86 
-74 ,31 
-82 ,-14 
56 ,10 
17 ,-52 
11 ,44 
-64 ,13 
42 ,-89 
41 ,-86 
-65 ,-18 
-61 ,-75 
66 ,-65 
56 ,-53 
43 ,-60 
7 ,-99 
56 ,31 
-13 ,-89 
70 ,59 
80 ,42 
-39 ,79 
64 ,21 
8 ,1 
-45 ,-64 
-53 ,46 
25 ,-72 
27 ,-40 
1 ,-34 
82 ,-24 
-55 ,13 
14 ,-6 
60 ,57 
-80 ,57 
-38 ,-77 
44 ,1 
-17 ,-54 
58 ,-79 
-83 ,5 
-64 ,48 
44 ,-3 
5 ,-14 
-62 ,-50 
-5 ,-62 
71 ,13 
-12 ,-44 
89 ,11 
-68 ,-17 
31 ,-20 
